title,release_year,rating,runtime,summary,popularity,total_reviewers,user_reviews,critic_reviews
Der Untergang,2004,8.2,2h 36m,"Traudl Junge, the final secretary for Adolf Hitler, tells of the Nazi dictator's final days in his Berlin bunker at the end of WWII.","1,347",355K,679,115
Per qualche dollaro in più,1965,8.2,2h 12m,Two bounty hunters with the same intentions team up to track down an escaped Mexican outlaw.,"3,517",256K,343,107
Batman Begins,2005,8.2,2h 20m,"After training with his mentor, Batman begins his fight to free crime-ridden Gotham City from corruption.",543,1.5M,3.1K,340
Dangal,2016,8.2,2h 41m,Former wrestler Mahavir Singh Phogat and his two wrestler daughters struggle towards glory at the Commonwealth Games in the face of societal oppression.,"2,175",190K,465,64
The Kid,1921,8.2,d1h 8m,"The Tramp cares for an abandoned child, but events put their relationship in jeopardy.",,127K,234,116
Some Like It Hot,1959,8.2,G2h 1m,"After two male musicians witness a mob hit, they flee the state in an all-female band disguised as women, but further complications set in.",777,267K,496,231
All About Eve,1950,8.2,2h 18m,A seemingly timid but secretly ruthless ingénue insinuates herself into the lives of an aging Broadway star and her circle of theater friends.,"3,450",132K,419,155
The Father,2020,8.2,1h 37m,"A man refuses all assistance from his daughter as he ages. As he tries to make sense of his changing circumstances, he begins to doubt his loved ones, his own mind and even the fabric of his... Read all",842,150K,1K,315
Green Book,2018,8.2,2h 10m,A working-class Italian-American bouncer becomes the driver for an African-American classical pianist on a tour of venues through the 1960s American South.,472,484K,1.7K,424
The Wolf of Wall Street,2013,8.2,13RR3h,"Based on the true story of Jordan Belfort, from his rise to a wealthy stock-broker living the high life to his fall involving crime, corruption and the federal government.",124,1.4M,1.7K,427
Judgment at Nuremberg,1961,8.2,2h 59m,"In 1948, an American court in occupied Germany tries four Nazis judged for war crimes.",,78K,248,106
Ran,1985,8.2,2h 42m,"In Medieval Japan, an elderly warlord retires, handing over his empire to his three sons. However, he vastly underestimates how the new-found power will corrupt them and cause them to turn o... Read all","3,241",126K,327,169
Casino,1995,8.2,2h 58m,"A tale of greed, deception, money, power, and murder occur between two best friends: a mafia enforcer and a casino executive compete against each other over a gambling empire, and over a fas... Read all",580,517K,738,148
Pan's Labyrinth,2006,8.2,1h 58m,"In the Falangist Spain of 1944, the bookish young stepdaughter of a sadistic army officer escapes into an eerie but captivating fantasy world.",555,666K,1.3K,463
Unforgiven,1992,8.2,2h 10m,"Retired Old West gunslinger William Munny reluctantly takes on one last job, with the help of his old partner Ned Logan and a young man, The ""Schofield Kid.""","1,095",411K,684,142
There Will Be Blood,2007,8.2,2h 38m,"A story of family, religion, hatred, oil and madness, focusing on a turn-of-the-century prospector in the early days of the business.",571,583K,1.5K,358
Spider-Man: No Way Home,2021,8.2,2h 28m,"With Spider-Man's identity now revealed, Peter asks Doctor Strange for help. When a spell goes wrong, dangerous foes from other worlds start to appear, forcing Peter to discover what it trul... Read all",102,736K,6.1K,412
The Truman Show,1998,8.2,1h 43m,An insurance salesman discovers his whole life is actually a reality TV show.,579,1.1M,1.4K,252
The Sixth Sense,1999,8.2,1h 47m,"A frightened, withdrawn Philadelphia boy who communicates with spirits seeks the help of a disheartened child psychologist.",352,986K,2.3K,262
A Beautiful Mind,2001,8.2,2h 15m,"After John Nash, a brilliant but asocial mathematician, accepts secret work in cryptography, his life takes a turn for the nightmarish.",861,928K,1.4K,159
Yôjinbô,1961,8.1,1h 50m,A crafty ronin comes to a town divided by two criminal gangs and decides to play them against each other to free the town.,,123K,232,139
Monty Python and the Holy Grail,1975,8.1,1h 31m,"King Arthur and his Knights of the Round Table embark on a surreal, low-budget search for the Holy Grail, encountering many, very silly obstacles.","1,562",540K,844,116
The Treasure of the Sierra Madre,1948,8.1,d2h 6m,Two down-on-their-luck Americans searching for work in 1920s Mexico convince an old prospector to help them mine for gold in the Sierra Madre Mountains.,,125K,313,107
Shutter Island,2010,8.1,2h 18m,"In 1954, a U.S. Marshal investigates the disappearance of a murderer who escaped from a hospital for the criminally insane.",266,1.3M,1.5K,525
Jurassic Park,1993,8.1,G2h 7m,A pragmatic paleontologist touring an almost complete theme park on an island in Central America is tasked with protecting a couple of kids after a power failure causes the park's cloned din... Read all,261,982K,1.3K,256
Rashômon,1950,8.1,1h 28m,"The rape of a bride and the murder of her samurai husband are recalled from the perspectives of a bandit, the bride, the samurai's ghost and a woodcutter.",,169K,390,138
The Great Escape,1963,8.1,2h 52m,Allied prisoners of war plan for several hundred of their number to escape from a German camp during World War II.,"1,591",244K,426,122
